route_id,sequence,stop_id,stop_name,median_minutes_to_next
brt-1D,1,brt-317,Maninagar,1.4
brt-1D,2,brt-59,Swaminarayan Mandir,2.4
brt-1D,3,brt-61,Jawahar Chowk,2.2
brt-1D,4,brt-63,Bhairavnath Road,2.5
brt-1D,5,brt-65,Mira Cinema Char Rasta,1.5
brt-1D,6,brt-49,Kankariya Telephone Exchange,2.1
brt-1D,7,brt-47,Swaminarayan College,1.8
brt-1D,8,brt-45,Vaikunth Dham Mandir,2.4
brt-1D,9,brt-44,Danilimda Char Rasta,2.4
brt-1D,10,brt-41,Khodiyarnagar,4.2
brt-1D,11,brt-39,Chandranagar,2.2
brt-1D,12,brt-37,Anjali,2.4
brt-1D,13,brt-35,Dharnidhar Derasar,3.9
brt-1D,14,brt-33,Manekbaug,2.0
brt-1D,15,brt-31,Nehrunagar,2.0
brt-1D,16,brt-29,Jhansi Ki Rani,2.0
brt-1D,17,brt-27,Shivranjani,1.6
brt-1D,18,brt-135,Jodhpur Char Rasta,1.5
brt-1D,19,brt-137,Star Bazaar,2.4
brt-1D,20,brt-139,ISRO,1.9
brt-1D,21,brt-141,Ramdevnagar,1.7
brt-1D,22,brt-143,ISKCON Cross Road,1.5
brt-1D,23,brt-205,ISKCON Mandir,1.6
brt-1D,24,brt-207,Antariksh Colony,2.0
brt-1D,25,brt-309,Ashok Vatika,1.8
brt-1D,26,brt-211,Jayantilal Park,2.0
brt-1D,27,brt-213,Swagat Bungalow,1.6
brt-1D,28,brt-215,Ambli Gam,1.7
brt-1D,29,brt-217,Bopal Approach,1.6
brt-1D,30,brt-291,Samarpan Bungalows,1.7
brt-1D,31,brt-267,Bhavya Park,1.5
brt-1D,32,brt-301,Sterling City,2.0
brt-1D,33,brt-303,Bopal Gam,1.9
brt-1D,34,brt-305,Little Wings,3.6
brt-1D,35,brt-269,Ghuma Gam,
brt-12U-CR,1,brt-225,Chandkheda Gam,3.1
brt-12U-CR,3,brt-221,Jantanagar,2.0
brt-12U-CR,4,brt-219,ONGC Avani Bhavan,2.4
brt-12U-CR,5,brt-183,Visat -Gandhinagar Junction,2.2
brt-12U-CR,6,brt-181,Motera Cross Road,2.4
brt-12U-CR,7,brt-179,Sabarmati Police Station,1.9
brt-12U-CR,8,brt-177,Sabarmati Municipal Swimming pool,1.5
brt-12U-CR,9,brt-175,Rathi Apartment,2.1
brt-12U-CR,10,brt-173,Sabarmati Power House,4.1
brt-12U-CR,11,brt-1,R.T.O Circle,2.1
brt-12U-CR,12,brt-3,Ranip Cross Road,2.5
brt-12U-CR,13,brt-5,Bhavsar Hostel,1.8
brt-12U-CR,14,brt-7,Akhbarnagar,2.8
brt-12U-CR,15,brt-10,Pragatinagar,1.6
brt-12U-CR,16,brt-11,Shastrinagar,2.2
brt-12U-CR,17,brt-13,Jaimangal,2.1
brt-12U-CR,18,brt-15,Sola Cross Road,1.7
brt-12U-CR,19,brt-17,Shree Valinath Chowk,1.8
brt-12U-CR,20,brt-19,Memnagar,2.6
brt-12U-CR,21,brt-21,University,2.2
brt-12U-CR,22,brt-23,Andhjan Mandal,2.3
brt-12U-CR,23,brt-25,Himmatlal Park,2.2
brt-12U-CR,24,brt-27,Shivranjani,2.0
brt-12U-CR,25,brt-29,Jhansi Ki Rani,2.0
brt-12U-CR,26,brt-31,Nehrunagar,2.0
brt-12U-CR,27,brt-33,Manekbaug,3.9
brt-12U-CR,28,brt-35,Dharnidhar Derasar,2.4
brt-12U-CR,29,brt-37,Anjali,2.2
brt-12U-CR,30,brt-39,Chandranagar,4.2
brt-12U-CR,31,brt-41,Khodiyarnagar,2.5
brt-12U-CR,32,brt-43,Danilimda Char Rasta,2.4
brt-12U-CR,34,brt-69,Chhipa Society,2.1
brt-12U-CR,35,brt-71,Chandola Lake,2.1
brt-12U-CR,36,brt-73,BRT Workshop,2.1
brt-12U-CR,37,brt-75,Kashiram Textiles,1.9
brt-12U-CR,38,brt-77,Narol,2.1
brt-12U-CR,39,brt-79,Mukesh Industries,2.6
brt-12U-CR,40,brt-81,Isanpur,2.8
brt-12U-CR,41,brt-83,Ghodasar,4.7
brt-12U-CR,42,brt-85,Jashodanagar Char Rasta,2.0
brt-12U-CR,43,brt-87,Express Highway Junction,2.2
brt-12U-CR,44,brt-89,CTM Cross Road,2.1
brt-12U-CR,45,brt-91,Purvdeep Society,1.9
brt-12U-CR,46,brt-93,Jogeshwari Society,1.7
brt-12U-CR,47,brt-95,Rabari Colony,
brt-1S-CG,1,brt-69,Chhipa Society,2.0
brt-1S-CG,2,brt-67,Danilimda Road,1.0
brt-1S-CG,3,brt-44,Danilimda Char Rasta,2.4
brt-1S-CG,4,brt-41,Khodiyarnagar,4.2
brt-1S-CG,5,brt-39,Chandranagar,2.2
brt-1S-CG,6,brt-37,Anjali,2.4
brt-1S-CG,7,brt-35,Dharnidhar Derasar,3.9
brt-1S-CG,8,brt-33,Manekbaug,2.0
brt-1S-CG,9,brt-31,Nehrunagar,2.0
brt-1S-CG,10,brt-29,Jhansi Ki Rani,2.0
brt-1S-CG,11,brt-27,Shivranjani,1.6
brt-1S-CG,12,brt-135,Jodhpur Char Rasta,1.5
brt-1S-CG,13,brt-137,Star Bazaar,2.4
brt-1S-CG,14,brt-139,ISRO,1.9
brt-1S-CG,15,brt-141,Ramdevnagar,1.7
brt-1S-CG,16,brt-143,ISKCON Cross Road,1.5
brt-1S-CG,17,brt-205,ISKCON Mandir,1.6
brt-1S-CG,18,brt-207,Antariksh Colony,2.0
brt-1S-CG,19,brt-309,Ashok Vatika,1.8
brt-1S-CG,20,brt-211,Jayantilal Park,2.0
brt-1S-CG,21,brt-213,Swagat Bungalow,1.6
brt-1S-CG,22,brt-215,Ambli Gam,1.7
brt-1S-CG,23,brt-217,Bopal Approach,1.6
brt-1S-CG,24,brt-291,Samarpan Bungalows,1.7
brt-1S-CG,25,brt-267,Bhavya Park,1.5
brt-1S-CG,26,brt-301,Sterling City,2.0
brt-1S-CG,27,brt-303,Bopal Gam,1.9
brt-1S-CG,28,brt-305,Little Wings,3.6
brt-1S-CG,29,brt-269,Ghuma Gam,
brt-1S-JG,1,brt-13,Jaimangal,2.1
brt-1S-JG,2,brt-15,Sola Cross Road,1.7
brt-1S-JG,3,brt-17,Shree Valinath Chowk,1.8
brt-1S-JG,4,brt-19,Memnagar,2.6
brt-1S-JG,5,brt-21,University,2.2
brt-1S-JG,6,brt-23,Andhjan Mandal,2.3
brt-1S-JG,7,brt-25,Himmatlal Park,2.5
brt-1S-JG,8,brt-135,Jodhpur Char Rasta,1.5
brt-1S-JG,9,brt-137,Star Bazaar,2.4
brt-1S-JG,10,brt-139,ISRO,1.9
brt-1S-JG,11,brt-141,Ramdevnagar,1.7
brt-1S-JG,12,brt-143,ISKCON Cross Road,1.5
brt-1S-JG,13,brt-205,ISKCON Mandir,1.6
brt-1S-JG,14,brt-207,Antariksh Colony,2.0
brt-1S-JG,15,brt-309,Ashok Vatika,1.8
brt-1S-JG,16,brt-211,Jayantilal Park,3.0
brt-1S-JG,18,brt-215,Ambli Gam,1.7
brt-1S-JG,19,brt-217,Bopal Approach,1.6
brt-1S-JG,20,brt-291,Samarpan Bungalows,1.7
brt-1S-JG,21,brt-267,Bhavya Park,1.5
brt-1S-JG,22,brt-301,Sterling City,2.0
brt-1S-JG,23,brt-303,Bopal Gam,1.9
brt-1S-JG,24,brt-305,Little Wings,3.6
brt-1S-JG,25,brt-269,Ghuma Gam,
brt-1S-SM,1,brt-227,Soma Textiles,2.2
brt-1S-SM,2,brt-297,Narayana Hospital,8.2
brt-1S-SM,3,brt-197,Raipur Darwaja,1.6
brt-1S-SM,4,brt-195,Astodiya Darwaja,1.7
brt-1S-SM,5,brt-255,Geeta Mandir,2.4
brt-1S-SM,6,brt-257,Bhulabhai Park,1.5
brt-1S-SM,7,brt-259,Mangal Park,1.4
brt-1S-SM,8,brt-49,Kankariya Telephone Exchange,2.2
brt-1S-SM,9,brt-51,Kankariya Lake Shukla Dada Chowk,1.6
brt-1S-SM,10,brt-53,Rambaug,2.3
brt-1S-SM,11,brt-55,Maninagar Char Rasta,1.9
brt-1S-SM,12,brt-317,Maninagar,
brt-1E-GJ,1,brt-269,Ghuma Gam,3.6
brt-1E-GJ,2,brt-305,Little Wings,1.9
brt-1E-GJ,3,brt-303,Bopal Gam,2.0
brt-1E-GJ,4,brt-301,Sterling City,1.5
brt-1E-GJ,5,brt-267,Bhavya Park,1.7
brt-1E-GJ,6,brt-291,Samarpan Bungalows,1.6
brt-1E-GJ,7,brt-217,Bopal Approach,1.7
brt-1E-GJ,8,brt-215,Ambli Gam,1.6
brt-1E-GJ,9,brt-213,Swagat Bungalow,2.0
brt-1E-GJ,10,brt-211,Jayantilal Park,1.8
brt-1E-GJ,11,brt-309,Ashok Vatika,2.0
brt-1E-GJ,12,brt-207,Antariksh Colony,1.6
brt-1E-GJ,13,brt-205,ISKCON Mandir,1.5
brt-1E-GJ,14,brt-143,ISKCON Cross Road,1.7
brt-1E-GJ,15,brt-141,Ramdevnagar,1.9
brt-1E-GJ,16,brt-139,ISRO,2.4
brt-1E-GJ,17,brt-137,Star Bazaar,1.5
brt-1E-GJ,18,brt-135,Jodhpur Char Rasta,2.5
brt-1E-GJ,19,brt-25,Himmatlal Park,2.3
brt-1E-GJ,20,brt-23,Andhjan Mandal,2.2
brt-1E-GJ,21,brt-21,University,2.6
brt-1E-GJ,22,brt-19,Memnagar,1.8
brt-1E-GJ,23,brt-17,Shree Valinath Chowk,1.7
brt-1E-GJ,24,brt-15,Sola Cross Road,2.1
brt-1E-GJ,25,brt-13,Jaimangal,
brt-1E-GK,2,brt-305,Little Wings,1.9
brt-1E-GK,3,brt-303,Bopal Gam,2.0
brt-1E-GK,4,brt-301,Sterling City,1.5
brt-1E-GK,5,brt-267,Bhavya Park,1.7
brt-1E-GK,6,brt-291,Samarpan Bungalows,1.6
brt-1E-GK,7,brt-217,Bopal Approach,1.7
brt-1E-GK,8,brt-215,Ambli Gam,1.6
brt-1E-GK,9,brt-213,Swagat Bungalow,2.0
brt-1E-GK,10,brt-211,Jayantilal Park,1.8
brt-1E-GK,11,brt-309,Ashok Vatika,2.0
brt-1E-GK,12,brt-207,Antariksh Colony,1.6
brt-1E-GK,13,brt-205,ISKCON Mandir,1.5
brt-1E-GK,14,brt-143,ISKCON Cross Road,1.7
brt-1E-GK,15,brt-141,Ramdevnagar,1.9
brt-1E-GK,16,brt-139,ISRO,2.4
brt-1E-GK,17,brt-137,Star Bazaar,1.5
brt-1E-GK,18,brt-135,Jodhpur Char Rasta,1.6
brt-1E-GK,19,brt-27,Shivranjani,2.0
brt-1E-GK,20,brt-29,Jhansi Ki Rani,2.0
brt-1E-GK,21,brt-31,Nehrunagar,2.0
brt-1E-GK,22,brt-33,Manekbaug,3.9
brt-1E-GK,23,brt-35,Dharnidhar Derasar,4.1
brt-1E-GK,25,brt-39,Chandranagar,4.2
brt-1E-GK,26,brt-41,Khodiyarnagar,2.5
brt-1E-GK,27,brt-43,Danilimda Char Rasta,1.0
brt-1E-GK,28,brt-67,Danilimda Road,2.0
brt-1E-GK,29,brt-69,Chhipa Society,2.1
brt-1E-GK,30,brt-71,Chandola Lake,2.1
brt-1E-GK,31,brt-73,BRT Workshop,2.1
brt-1E-GK,32,brt-75,Kashiram Textiles,
brt-1E-MS,1,brt-317,Maninagar,1.4
brt-1E-MS,2,brt-59,Swaminarayan Mandir,2.4
brt-1E-MS,3,brt-61,Jawahar Chowk,2.2
brt-1E-MS,4,brt-63,Bhairavnath Road,2.5
brt-1E-MS,5,brt-65,Mira Cinema Char Rasta,1.5
brt-1E-MS,6,brt-49,Kankariya Telephone Exchange,1.4
brt-1E-MS,7,brt-259,Mangal Park,1.5
brt-1E-MS,8,brt-257,Bhulabhai Park,2.4
brt-1E-MS,9,brt-255,Geeta Mandir,2.4
brt-1E-MS,10,brt-197,Raipur Darwaja,8.2
brt-1E-MS,11,brt-297,Narayana Hospital,2.2
brt-1E-MS,12,brt-227,Soma Textiles,
brt-1U,1,brt-269,Ghuma Gam,3.6
brt-1U,2,brt-305,Little Wings,1.9
brt-1U,3,brt-303,Bopal Gam,2.0
brt-1U,4,brt-301,Sterling City,1.5
brt-1U,5,brt-267,Bhavya Park,1.7
brt-1U,6,brt-291,Samarpan Bungalows,1.6
brt-1U,7,brt-217,Bopal Approach,1.7
brt-1U,8,brt-215,Ambli Gam,1.6
brt-1U,9,brt-213,Swagat Bungalow,2.0
brt-1U,10,brt-211,Jayantilal Park,1.8
brt-1U,11,brt-309,Ashok Vatika,2.0
brt-1U,12,brt-207,Antariksh Colony,1.6
brt-1U,13,brt-205,ISKCON Mandir,1.5
brt-1U,14,brt-143,ISKCON Cross Road,1.7
brt-1U,15,brt-141,Ramdevnagar,1.9
brt-1U,16,brt-139,ISRO,2.4
brt-1U,17,brt-137,Star Bazaar,1.5
brt-1U,18,brt-135,Jodhpur Char Rasta,1.6
brt-1U,19,brt-27,Shivranjani,2.0
brt-1U,20,brt-29,Jhansi Ki Rani,2.0
brt-1U,21,brt-31,Nehrunagar,2.0
brt-1U,22,brt-33,Manekbaug,3.9
brt-1U,23,brt-35,Dharnidhar Derasar,2.4
brt-1U,24,brt-37,Anjali,2.2
brt-1U,25,brt-39,Chandranagar,4.2
brt-1U,26,brt-41,Khodiyarnagar,2.5
brt-1U,27,brt-43,Danilimda Char Rasta,2.3
brt-1U,28,brt-45,Vaikunth Dham Mandir,1.8
brt-1U,29,brt-47,Swaminarayan College,2.1
brt-1U,30,brt-49,Kankariya Telephone Exchange,2.2
brt-1U,31,brt-51,Kankariya Lake Shukla Dada Chowk,1.6
brt-1U,32,brt-53,Rambaug,2.3
brt-1U,33,brt-55,Maninagar Char Rasta,1.9
brt-1U,34,brt-317,Maninagar,
brt-2D-OI,1,brt-157,SP Ring Road Approach,2.2
brt-2D-OI,2,brt-155,Odhav Talav,1.3
brt-2D-OI,3,brt-153,Morlidhar Society,1.5
brt-2D-OI,4,brt-151,Chhotalal ni Chali,1.6
brt-2D-OI,5,brt-149,Vallabh Nagar,1.6
brt-2D-OI,6,brt-147,Odhav Fire Station,2.5
brt-2D-OI,7,brt-145,Grid Station,2.0
brt-2D-OI,8,brt-103,Soni ni Chali B,1.9
brt-2D-OI,9,brt-159,Ajit Mill Char Rasta,1.7
brt-2D-OI,10,brt-227,Soma Textiles,2.2
brt-2D-OI,11,brt-297,Narayana Hospital,8.2
brt-2D-OI,12,brt-197,Raipur Darwaja,1.6
brt-2D-OI,13,brt-195,Astodiya Darwaja,1.6
brt-2D-OI,14,brt-193,Astodiya Chakala,1.2
brt-2D-OI,15,brt-191,Municipal Corporation Office,1.6
brt-2D-OI,16,brt-189,Raikhad Char Rasta,1.2
brt-2D-OI,17,brt-187,Lokamanya Tilak Bag,3.4
brt-2D-OI,18,brt-287,M J Library,3.6
brt-2D-OI,19,brt-289,Law Garden,2.8
brt-2D-OI,20,brt-299,Vasundhara Society,2.8
brt-2D-OI,21,brt-235,LD Engg. College,2.2
brt-2D-OI,22,brt-233,Gulbai Tekra Approach,1.8
brt-2D-OI,23,brt-231,Panjrapole Char Rasta,1.4
brt-2D-OI,24,brt-229,L Colony,0.9
brt-2D-OI,25,brt-31,Nehrunagar,2.0
brt-2D-OI,26,brt-29,Jhansi Ki Rani,2.0
brt-2D-OI,27,brt-27,Shivranjani,1.6
brt-2D-OI,28,brt-135,Jodhpur Char Rasta,1.5
brt-2D-OI,29,brt-137,Star Bazaar,2.4
brt-2D-OI,30,brt-139,ISRO,1.9
brt-2D-OI,31,brt-141,Ramdevnagar,1.7
brt-2D-OI,32,brt-143,ISKCON Cross Road,
brt-2D-SL,1,brt-157,SP Ring Road Approach,2.2
brt-2D-SL,2,brt-155,Odhav Talav,1.3
brt-2D-SL,3,brt-153,Morlidhar Society,1.5
brt-2D-SL,4,brt-151,Chhotalal ni Chali,1.6
brt-2D-SL,5,brt-149,Vallabh Nagar,1.6
brt-2D-SL,6,brt-147,Odhav Fire Station,2.5
