route_id,agency,route_code,customer_route_code,headsign,variant,start_stop_id,end_stop_id,first_departure,last_departure,operating_days,sources,scraped_at
brt-1D,brt,1D,1D,Maninagar - Ghuma Gam,NORMAL,brt-317,brt-269,06:00:00,22:45:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-12U-CR,brt,12U-CR,12U,Chandkheda Gam - Rabari Colony,NORMAL,brt-225,brt-95,06:05:00,08:23:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-1S-CG,brt,1S-CG,1S,Chhipa Society - Ghuma Gam,NORMAL,brt-69,brt-269,05:58:00,07:48:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-1S-JG,brt,1S-JG,1S,Jaimangal - Ghuma Gam,NORMAL,brt-13,brt-269,15:20:00,16:00:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-1S-SM,brt,1S-SM,1S,Soma Textiles - Maninagar,NORMAL,brt-227,brt-317,06:00:00,09:27:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-1E-GJ,brt,1E-GJ,1E,Ghuma Gam - Jaimangal,NORMAL,brt-269,brt-13,10:39:00,22:40:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-1E-GK,brt,1E-GK,1E,Ghuma Gam - Kashiram Textiles,NORMAL,brt-269,brt-75,22:35:00,22:35:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-1E-MS,brt,1E-MS,1E,Maninagar - Soma Textiles,NORMAL,brt-317,brt-227,19:09:00,22:50:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-1U,brt,1U,1U,Ghuma Gam - Maninagar,NORMAL,brt-269,brt-317,06:10:00,22:46:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-2D-OI,brt,2D-OI,2D,Odhav Ring Road - ISKCON,NORMAL,brt-157,brt-143,06:00:00,22:45:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-4E-AB,brt,4E-AB,4E,Amba Township - Sarthi Bungalows,NORMAL,brt-409,brt-251,20:05:00,21:32:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-2D-SL,brt,2D-SL,2D,Odhav Ring Road - LD Engg. College,NORMAL,brt-157,brt-235,21:30:00,21:30:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-2S-JI,brt,2S-JI,2S,Jaimangal - ISKCON,NORMAL,brt-13,brt-143,05:59:00,17:16:00,"[1,2,3,4,5,6,7]","[""brt_api""]",2026-06-29T18:14:59+00:00
