agency,from_stop_id,to_stop_id,median_minutes,sample_count
brt,brt-317,brt-59,1.4,8
brt,brt-59,brt-61,2.4,9
brt,brt-61,brt-63,2.2,8
brt,brt-63,brt-65,2.5,8
brt,brt-65,brt-49,1.5,9
brt,brt-49,brt-47,2.1,6
brt,brt-47,brt-45,1.8,10
brt,brt-45,brt-44,2.4,7
brt,brt-44,brt-41,2.4,14
brt,brt-41,brt-39,4.2,14
brt,brt-39,brt-37,2.2,14
brt,brt-37,brt-35,2.4,9
brt,brt-35,brt-33,3.9,9
brt,brt-33,brt-31,2.0,9
brt,brt-31,brt-29,2.0,19
brt,brt-29,brt-27,2.0,19
brt,brt-27,brt-135,1.6,5
brt,brt-135,brt-137,1.5,13
brt,brt-137,brt-139,2.4,13
brt,brt-139,brt-141,1.9,13
brt,brt-141,brt-143,1.7,13
brt,brt-143,brt-205,1.5,5
brt,brt-205,brt-207,1.6,5
brt,brt-207,brt-309,2.0,5
brt,brt-309,brt-211,1.8,5
brt,brt-211,brt-213,2.0,4
brt,brt-213,brt-215,1.6,4
brt,brt-215,brt-217,1.7,5
brt,brt-217,brt-291,1.6,5
brt,brt-291,brt-267,1.7,4
brt,brt-267,brt-301,1.5,4
brt,brt-301,brt-303,2.0,4
brt,brt-303,brt-305,1.9,3
brt,brt-305,brt-269,3.6,3
brt,brt-225,brt-221,3.1,1
brt,brt-221,brt-219,2.0,6
brt,brt-219,brt-183,2.4,5
brt,brt-183,brt-181,2.2,6
brt,brt-181,brt-179,2.4,6
brt,brt-179,brt-177,1.9,6
brt,brt-177,brt-175,1.5,6
brt,brt-175,brt-173,2.1,6
brt,brt-173,brt-1,4.1,6
brt,brt-1,brt-3,2.1,14
brt,brt-3,brt-5,2.5,11
brt,brt-5,brt-7,1.8,12
brt,brt-7,brt-10,2.8,13
brt,brt-10,brt-11,1.6,13
brt,brt-11,brt-13,2.2,11
brt,brt-13,brt-15,2.1,20
brt,brt-15,brt-17,1.7,21
brt,brt-17,brt-19,1.8,21
brt,brt-19,brt-21,2.6,20
brt,brt-21,brt-23,2.2,20
brt,brt-23,brt-25,2.3,20
brt,brt-25,brt-27,2.2,13
brt,brt-27,brt-29,2.0,18
brt,brt-29,brt-31,2.0,18
brt,brt-31,brt-33,2.0,8
brt,brt-33,brt-35,3.9,8
brt,brt-35,brt-37,2.4,7
brt,brt-37,brt-39,2.2,11
brt,brt-39,brt-41,4.2,10
brt,brt-41,brt-43,2.5,9
brt,brt-43,brt-69,2.4,1
brt,brt-69,brt-71,2.1,10
brt,brt-71,brt-73,2.1,10
brt,brt-73,brt-75,2.1,10
brt,brt-75,brt-77,1.9,6
brt,brt-77,brt-79,2.1,8
brt,brt-79,brt-81,2.6,8
brt,brt-81,brt-83,2.8,8
brt,brt-83,brt-85,4.7,8
brt,brt-85,brt-87,2.0,8
brt,brt-87,brt-89,2.2,8
brt,brt-89,brt-91,2.1,8
brt,brt-91,brt-93,1.9,8
brt,brt-93,brt-95,1.7,8
brt,brt-69,brt-67,2.0,10
brt,brt-67,brt-44,1.0,7
brt,brt-25,brt-135,2.5,8
brt,brt-211,brt-215,3.0,1
brt,brt-227,brt-297,2.2,6
brt,brt-297,brt-197,8.2,3
brt,brt-197,brt-195,1.6,8
brt,brt-195,brt-255,1.7,5
brt,brt-255,brt-257,2.4,7
brt,brt-257,brt-259,1.5,7
brt,brt-259,brt-49,1.4,3
brt,brt-49,brt-51,2.2,9
brt,brt-51,brt-53,1.6,9
brt,brt-53,brt-55,2.3,9
brt,brt-55,brt-317,1.9,9
brt,brt-269,brt-305,3.6,2
brt,brt-305,brt-303,1.9,3
brt,brt-303,brt-301,2.0,5
brt,brt-301,brt-267,1.5,5
brt,brt-267,brt-291,1.7,5
brt,brt-291,brt-217,1.6,5
brt,brt-217,brt-215,1.7,5
brt,brt-215,brt-213,1.6,5
brt,brt-213,brt-211,2.0,5
brt,brt-211,brt-309,1.8,5
brt,brt-309,brt-207,2.0,5
brt,brt-207,brt-205,1.6,5
brt,brt-205,brt-143,1.5,5
brt,brt-143,brt-141,1.7,13
brt,brt-141,brt-139,1.9,13
brt,brt-139,brt-137,2.4,13
brt,brt-137,brt-135,1.5,13
brt,brt-135,brt-25,2.5,8
brt,brt-25,brt-23,2.3,22
brt,brt-23,brt-21,2.2,22
brt,brt-21,brt-19,2.6,22
brt,brt-19,brt-17,1.8,22
brt,brt-17,brt-15,1.7,22
brt,brt-15,brt-13,2.1,20
brt,brt-135,brt-27,1.6,5
brt,brt-35,brt-39,4.1,1
brt,brt-43,brt-67,1.0,5
brt,brt-67,brt-69,2.0,9
brt,brt-49,brt-259,1.4,3
brt,brt-259,brt-257,1.5,5
brt,brt-257,brt-255,2.4,5
brt,brt-255,brt-197,2.4,3
brt,brt-197,brt-297,8.2,4
brt,brt-297,brt-227,2.2,5
brt,brt-43,brt-45,2.3,5
brt,brt-45,brt-47,1.8,8
brt,brt-47,brt-49,2.1,6
brt,brt-157,brt-155,2.2,5
brt,brt-155,brt-153,1.3,7
brt,brt-153,brt-151,1.5,7
brt,brt-151,brt-149,1.6,7
brt,brt-149,brt-147,1.6,7
brt,brt-147,brt-145,2.5,7
