stop_id,agency,name,lat,lon,coord_source,stop_type,interchange_group_id,route_codes,sources,scraped_at
brt-6871,brt,A.E.C Zonal Office,23.052529,72.548714,brt_api,BRT,ix-0000,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6763,brt,Aagaman Park,23.022596,72.668691,brt_api,BRT,,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-412,brt,Aarohi Club Road,23.021254,72.459859,brt_api,BRT,,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-500,brt,AB Connect,23.011338,72.66181,brt_api,BRT,ix-0001,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-641,brt,Abad Green Party plot,22.948928,72.591636,brt_api,BRT,ix-0002,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6969,brt,Abu-Koba Cross Road,23.087073,72.59148,brt_api,BRT,ix-0003,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6971,brt,Acher Depot,23.089964,72.590581,brt_api,BRT,ix-0004,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-398,brt,Adalaj Circle,23.166944,72.586919,brt_api,BRT,ix-0005,"[""4D-LA"",""4S-SA""]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-400,brt,Adalaj S.T. Stand,23.175303,72.57514,brt_api,BRT,ix-0006,"[""4D-LA"",""4S-SA""]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-508,brt,Adam Sahebni Dargah,23.013606,72.596183,brt_api,BRT,ix-0007,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6501,brt,Adinathnagar,23.015007,72.661818,brt_api,BRT,ix-0008,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-1001,brt,Ahmedabad Domestic Airport,23.071765,72.621076,brt_api,BRT,ix-0009,"[""15D-IA"",""15S-PA""]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6841,brt,Ahmedabad Gramya Jilla Nyayalay,23.03261,72.584542,brt_api,BRT,ix-0010,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-388,brt,Airport Circle,23.08132,72.616404,brt_api,BRT,,"[""15U-AI""]","[""brt_api"",""osm""]",2026-06-29T18:14:59+00:00
brt-591,brt,Ajanta Ellora Apartments,23.057195,72.526295,brt_api,BRT,ix-0011,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-159,brt,Ajit Mill Char Rasta,23.020036,72.633286,brt_api,BRT,ix-0012,"[""2D-OI"",""2D-SL"",""11D-OL"",""7S-OS"",""14D-OS""]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-675,brt,Ajit Mills,23.020782,72.632195,brt_api,BRT,ix-0013,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-7,brt,Akhbarnagar,23.067515,72.563763,brt_api,BRT,ix-0014,"[""12U-CR"",""3U"",""3U-CM"",""3UL"",""4E-ZS"",""4U-AL"",""4U-ZL"",""8D-NB"",""12U-RL"",""12U-RP"",""15E-RS"",""15U"",""15U-AI""]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6655,brt,Amar Dham (Lal Bawa Gebi Ashram),22.939472,72.665249,brt_api,BRT,ix-0015,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-665,brt,Amaraiwadi Post Office,23.005685,72.627106,brt_api,BRT,ix-0016,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-408,brt,Amba Township,23.189715,72.576306,brt_api,BRT,ix-0017,"[""4D-LA"",""4S-SA""]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-382,brt,Ambar Tower,22.988919,72.512412,brt_api,BRT,ix-0018,"[""14D-OS"",""14D-SS""]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-215,brt,Ambli Gam,23.026489,72.482186,brt_api,BRT,ix-0019,"[""1E-GJ"",""1E-GK"",""1U"",""17U"",""17E-BJ""]","[""brt_api""]",2026-06-29T18:14:59+00:00
brt-501,brt,Amdupura,23.035001,72.605198,brt_api,BRT,ix-0020,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6865,brt,Amikunj Society,23.05225,72.555853,brt_api,BRT,ix-0021,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6929,brt,Amrakunj,23.002599,72.594047,brt_api,BRT,ix-0022,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6508,brt,MUNICIPAL_BUS Staff Quarters,23.011188,72.584753,brt_api,BRT,ix-0023,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6603,brt,Anaj Bazaar,23.005173,72.614736,brt_api,BRT,ix-0024,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-544,brt,Anandwadi,22.982425,72.60321,brt_api,BRT,ix-0025,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-23,brt,Andhjan Mandal,23.034618,72.536006,brt_api,BRT,ix-0026,"[""12U-CR"",""1S-JG"",""2S-JI"",""3U"",""3U-CM"",""3UL"",""4U-AL"",""4U-ZL"",""9U-VM"",""9S-JL"",""9S-JM"",""12U-RL"",""12U-RP"",""15S-JI"",""15U"",""15U-AI"",""16S"",""16S-JS"",""17S"",""17S-JB""]","[""brt_api"",""osm""]",2026-06-29T18:14:59+00:00
brt-37,brt,Anjali,23.003687,72.55392,brt_api,BRT,ix-0027,"[""12U-CR"",""1U"",""5U-VN"",""3U"",""3U-CM"",""3UL"",""5E-VK"",""5E-VR"",""12U-RL"",""12U-RP"",""14U-SS""]","[""brt_api"",""osm""]",2026-06-29T18:14:59+00:00
brt-723,brt,Ankur Society,23.058885,72.555986,brt_api,BRT,ix-0028,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-207,brt,Antariksh Colony,23.027782,72.501004,brt_api,BRT,ix-0029,"[""1E-GJ"",""1E-GK"",""1U"",""17U"",""17E-BJ""]","[""brt_api"",""osm""]",2026-06-29T18:14:59+00:00
brt-689,brt,Anupam Colony,23.04296,72.63165,brt_api,BRT,ix-0030,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6528,brt,Anuradha Society,23.031629,72.458421,brt_api,BRT,ix-0031,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6585,brt,Apna Bazaar,23.025321,72.580705,brt_api,BRT,ix-0032,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6599,brt,Apparel Park (Ambika Mills),23.006973,72.610215,brt_api,BRT,ix-0033,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
brt-6801,brt,Arjun Complex,23.073982,72.654348,brt_api,BRT,ix-0034,[],"[""brt_api""]",2026-06-29T18:14:59+00:00
