route_name,longName,agencyName,transitType,firstStop,lastStop,totalStops,totalDurationMinutes,operatingDays
1E,,AMTS BRTS 1E Bus,,Ghuma Gam BRTS,Jaimangal BRTS,28,32,everyday
1D,,AMTS BRTS 1D Bus,,Maninagar BRTS,Ghuma Gam BRTS,33,49,everyday
1E,,AMTS BRTS 1E Bus,,Maninagar BRTS,Kashiram Textiles BRTS,11,14,everyday
1S,,AMTS BRTS 1S Bus,,Jaimangal BRTS,Ghuma Gam BRTS,25,37,everyday
2D,,AMTS BRTS 2D Bus,,S.P.Ring Road Approach BRTS,Bhadaj Circle,38,60,everyday
2E,,AMTS BRTS 2E Bus,,Bhadaj Circle,Jaimangal BRTS,11,17,everyday
1S,,AMTS BRTS 1S Bus,,Chhipa Society BRTS,Maninagar BRTS,9,13,everyday
1S,,AMTS BRTS 1S Bus,,Chhipa Society BRTS,Ghuma Gam BRTS,29,46,everyday
2S,,AMTS BRTS 2S Bus,,Jaimangal BRTS,Bhadaj Circle,10,17,everyday
3D,,AMTS BRTS 3D Bus,,Maninagar BRTS,Chandkheda Gam BRTS,39,65,everyday
2U,,AMTS BRTS 2U Bus,,,,,,
3S,,AMTS BRTS 3S Bus,,Chhipa Society BRTS,Maninagar BRTS,9,12,everyday
3U,,AMTS BRTS 3U Bus,,Chandkheda Gam BRTS,Maninagar BRTS,38,64,everyday
3E,,AMTS BRTS 3E Bus,,Maninagar BRTS,Kashiram Textiles BRTS,12,14,everyday
1U,,AMTS BRTS 1U Bus,,Ghuma Gam BRTS,Maninagar BRTS,33,49,everyday
4E,,AMTS BRTS 4E Bus,,Amba Township,Sarthi Bungalows BRTS,7,12,everyday
4D,,AMTS BRTS 4D Bus,,LD Engg. College BRTS,DCIS Circle (Zundal Circle) BRTS,32,49,everyday
4E,,AMTS BRTS 4E Bus,,DCIS Circle (Zundal Circle) BRTS,Shastrinagar BRTS,18,26,everyday
4S,,AMTS BRTS 4S Bus,,Jaimangal BRTS,LD Engg,14,20,everyday
4D,,AMTS BRTS 4D Bus,,LD Engg. College BRTS,Amba Township,37,61,everyday
3U,,AMTS BRTS 3U Bus,,RTO Circle,Maninagar BRTS,28,46,everyday
4E,,AMTS BRTS 4E Bus,,LD Engg. College BRTS,Jaimangal BRTS,14,17,everyday
4S,,AMTS BRTS 4S Bus,,Sarthi Bungalows BRTS,Amba Township,7,14,everyday
3D,,AMTS BRTS 3D Bus,,Maninagar BRTS,RTO Circle,29,49,everyday
4S,,AMTS BRTS 4S Bus,,Pragatinagar BRTS,DCIS Circle (Zundal Circle) BRTS,17,31,everyday
4U,,AMTS BRTS 4U Bus,,DCIS Circle (Zundal Circle) BRTS,LD Engg,32,50,everyday
4U,,AMTS BRTS 4U Bus,,Amba Township,LD Engg,37,61,everyday
5E,,AMTS BRTS 5E Bus,,Vasna Terminus,Kashiram Textiles BRTS,10,12,everyday
5S,,AMTS BRTS 5S Bus,,Chhipa Society BRTS,Vasna Terminus,7,10,everyday
6E,,AMTS BRTS 6E Bus,,Naroda S.T.Workshop BRTS,Odhav Talav BRTS,16,19,everyday
6E,,AMTS BRTS 6E Bus,,Naroda S.T.Workshop BRTS,Geeta Gauri Cinema BRTS,11,13,everyday
6D,,AMTS BRTS 6D Bus,,Naroda S.T.Workshop BRTS,Narol BRTS,22,35,everyday
6E,,AMTS BRTS 6E Bus,,Narol BRTS,Rameshwar Park BRTS,12,17,everyday
6E,,AMTS BRTS 6E Bus,,Narol BRTS,Odhav Talav BRTS,20,25,everyday
6S,,AMTS BRTS 6S Bus,,,,,,
6S,,AMTS BRTS 6S Bus,,,,,,
6S,,AMTS BRTS 6S Bus,,Odhav Talav BRTS,Narol BRTS,20,25,everyday
5U,,AMTS BRTS 5U Bus,,Vasna Terminus,Hanspura Ring Road,39,66,everyday
6S,,AMTS BRTS 6S Bus,,Rameshwar Park BRTS,Narol BRTS,11,17,everyday
6U,,AMTS BRTS 6U Bus,,,,,,
5D,,AMTS BRTS 5D Bus,,Hanspura Ring Road,Vasna Terminus,38,65,everyday
7D,,AMTS BRTS 7D Bus,,Narol BRTS,DCIS Circle (Zundal Circle) BRTS,38,57,everyday
7E,,AMTS BRTS 7E Bus,,Narol BRTS,Odhav Talav BRTS,20,24,everyday
7E,,AMTS BRTS 7E Bus,,Narol BRTS,Rameshwar Park BRTS,12,17,everyday
8D,,AMTS BRTS 8D Bus,,Naroda Terminus,Iskcon Cross Road BRTS,35,52,everyday
7S,,AMTS BRTS 7S Bus,,Odhav Talav BRTS,Narol BRTS,20,32,everyday
7U,,AMTS BRTS 7U Bus,,DCIS Circle (Zundal Circle) BRTS,Narol BRTS,41,62,everyday
8E,,AMTS BRTS 8E Bus,,Naroda Terminus,Geeta Gauri Cinema BRTS,13,19,everyday
7S,,AMTS BRTS 7S Bus,,Rameshwar Park BRTS,Narol BRTS,11,17,everyday
8U,,AMTS BRTS 8U Bus,,Iskcon Cross Road BRTS,Naroda Terminus,35,52,everyday
8S,,AMTS BRTS 8S Bus,,Geeta Gauri Cinema BRTS,Naroda Terminus,13,21,everyday
8S,,AMTS BRTS 8S Bus,,Chhipa Society BRTS,Iskcon Cross Road BRTS,16,22,everyday
8S,,AMTS BRTS 8S Bus,,Odhav Talav BRTS,Naroda Terminus,18,27,everyday
9D,,AMTS BRTS 9D Bus,,Maninagar BRTS,Vasantnagar Township,40,60,everyday
8E,,AMTS BRTS 8E Bus,,Naroda Terminus,Odhav Talav BRTS,18,22,everyday
9E,,AMTS BRTS 9E Bus,,Vasantnagar Township,Jaimangal BRTS,11,17,everyday
9E,,AMTS BRTS 9E Bus,,Maninagar BRTS,Kashiram Textiles BRTS,12,15,everyday
9S,,AMTS BRTS 9S Bus,,Chhipa Society BRTS,Maninagar BRTS,9,13,everyday
11D,,AMTS BRTS 11D Bus,,S.P.Ring Road Approach BRTS,LD Engg,25,36,everyday
9U,,AMTS BRTS 9U Bus,,Vasantnagar Township,Maninagar BRTS,39,61,everyday
11E,,AMTS BRTS 11E Bus,,LD Engg. College BRTS,Kashiram Textiles BRTS,18,23,everyday
9S,,AMTS BRTS 9S Bus,,Jaimangal BRTS,Vasantnagar Township,11,19,everyday
12U,,AMTS BRTS 12U Bus,,Chandkheda Gam BRTS,CTM Cross Road BRTS,44,73,everyday
11U,,AMTS BRTS 11U Bus,,,,,,
11S,,AMTS BRTS 11S Bus,,Chhipa Society BRTS,LD Engg,15,18,everyday
12D,,AMTS BRTS 12D Bus,,Rameshwar Park BRTS,RTO Circle,39,68,everyday
12D,,AMTS BRTS 12D Bus,,CTM Cross Road BRTS,RTO Circle,34,57,everyday
12D,,AMTS BRTS 12D Bus,,CTM Cross Road BRTS,Chandkheda Gam BRTS,44,64,everyday
12U,,AMTS BRTS 12U Bus,,RTO Circle,Rameshwar Park BRTS,40,59,everyday
14U,,AMTS BRTS 14U Bus,,Sanand Circle,Naroda Terminus,32,53,everyday
14S,,AMTS BRTS 14S Bus,,Geeta Gauri Cinema BRTS,Naroda Terminus,13,20,everyday
14E,,AMTS BRTS 14E Bus,,Naroda Terminus,Geeta Gauri Cinema BRTS,13,18,everyday
12U,,AMTS BRTS 12U Bus,,RTO Circle,CTM Cross Road BRTS,35,59,everyday
14D,,AMTS BRTS 14D Bus,,Naroda Terminus,Sanand Circle,34,56,everyday
15D,,AMTS BRTS 15D Bus,,Iskcon Cross Road BRTS,Ahmedabad Domestic Airport,19,32,everyday
15D,,AMTS BRTS 15D Bus,,Iskcon Cross Road BRTS,RTO Circle,18,28,everyday
15E,,AMTS BRTS 15E Bus,,RTO Circle,Shastrinagar BRTS,6,8,everyday
15E,,AMTS BRTS 15E Bus,,Iskcon Cross Road BRTS,Jaimangal BRTS,12,17,everyday
15S,,AMTS BRTS 15S Bus,,Pragatinagar BRTS,RTO Circle,5,7,everyday
15S,,AMTS BRTS 15S Bus,,Jaimangal BRTS,Iskcon Cross Road BRTS,12,18,everyday
15U,,AMTS BRTS 15U Bus,,Ahmedabad Domestic Airport,Iskcon Cross Road BRTS,21,43,everyday
16D,,AMTS BRTS 16D Bus,,Nehrunagar BRTS,Sanand Circle,12,20,everyday
15U,,AMTS BRTS 15U Bus,,RTO Circle,Iskcon Cross Road BRTS,18,28,everyday
16E,,AMTS BRTS 16E Bus,,Nehrunagar BRTS,Jaimangal BRTS,10,14,everyday
16E,,AMTS BRTS 16E Bus,,Sanand Circle,Jaimangal BRTS,15,21,everyday
16S,,AMTS BRTS 16S Bus,,Jaimangal BRTS,Nehrunagar BRTS,10,16,everyday
16U,,AMTS BRTS 16U Bus,,Sanand Circle,Nehrunagar BRTS,12,20,everyday
16S,,AMTS BRTS 16S Bus,,Jaimangal BRTS,Sanand Circle,16,31,everyday
17D,,AMTS BRTS 17D Bus,,Nehrunagar BRTS,South Bopal,18,25,everyday
17U,,AMTS BRTS 17U Bus,,South Bopal,Nehrunagar BRTS,18,24,everyday
17S,,AMTS BRTS 17S Bus,,Jaimangal BRTS,Nehrunagar BRTS,10,15,everyday
17S,,AMTS BRTS 17S Bus,,Jaimangal BRTS,South Bopal,22,36,everyday
17E,,AMTS BRTS 17E Bus,,Nehrunagar BRTS,Jaimangal BRTS,10,13,everyday
18E,,AMTS BRTS 18E Bus,,Maninagar BRTS,Jaimangal BRTS,23,35,everyday
18E,,AMTS BRTS 18E Bus,,Ahmedabad Domestic Airport,Shastrinagar BRTS,10,15,everyday
18S,,AMTS BRTS 18S Bus,,Jaimangal BRTS,Maninagar BRTS,23,41,everyday
