id,name
33482953,A. E. C. Office (Naranpura) stop
33482957,A. E. C. Office (Naranpura) stop
33482331,APMC Market stop
45380856,Aakash Metro City stop
45329020,APMC Market stop
33483610,Anupam Cinema stop
33483609,Anupam Cinema stop
33483345,Arbudanagar stop
39830116,Ashok Mills stop
33483344,Arbudanagar stop
33483578,Ambika Mills stop
39873265,Ashok Mill BRTS stop
33483584,Ambika Mills stop
39830117,Ashok Mills stop
45378997,Amarnath Residency stop
45378996,Amarnath Residency stop
45341555,Balaji Residency stop
45341556,Balaji Residency stop
45352516,Bhagwati Nagar stop
33481511,Bhavsar Hostel BRTS stop
39830180,Bhavans College stop
33483859,Bhavans College stop
45378874,Bhavani Chowk stop
33483502,Bhavsar Hostel stop
33483513,Bhavsar Hostel stop
33481605,Bhuyangdev BRTS stop
45378810,Bhawani Chowk stop
45378811,Bhawani Chowk stop
33482845,Bhuyangdev stop
33482842,Bhuyangdev stop
33483865,Bihari Mills stop
45378978,Bima Nagar stop
45329068,Bihari Mills stop
45378977,Bima Nagar stop
33481964,Bihari Mills stop
45329067,Bhuyangdev stop
44963633,Bombay Housing stop
44963635,Bombay Housing stop
33482447,Calico Mills stop
44963599,C.T.M. Char Rasta stop
33483251,C.T.M. stop
33482908,Chaitanya Society stop
33482448,Calico Mills stop
33483244,C. T. M. Cross Road stop
45378828,Chandlodiya Talav stop
45378829,Chandlodiya Talav stop
45329038,Chepi Rog Hospital stop
33483046,Delhi Darwaja (Rt.105 Stand)
33483045,Delhi Darwaja (Rt.105 Stand)
33482312,Delhi Darwaja stop
45329039,Chepi Rog Hospital stop
33482327,Delhi Darwaja stop
45142100,Delhi Darwaja stop
33482178,Devbhoomi Society stop
45142101,Delhi Darwaja stop
33481928,Devbhoomi Society stop
45463594,Devbhoomi Society stop
45378954,Devnanand Park stop
45378955,Devnanand Park stop
33483783,Devsya States stop
45378956,Devsya States stop
33483782,Devsya States stop
45378757,Dhanjibhai Industrial Estate stop
45378957,Devsya States stop
45378758,Dhanjibhai Industrial Estate stop
45378998,Dharti Parisar stop
45378999,Dharti Parisar stop
45185236,Diesel Company (Chandkheda Cross Road) stop
45185235,Diesel Company (Chandkheda Cross Road) stop
33483052,Dinbai Tower stop
45378815,Dnya Geeta Prathmik School stop
45378814,Dnya Geeta Prathmik School stop
33482692,Drive In Cinema stop
33483053,Dinbai Tower stop
33482732,Drive In Cinema stop
39862198,Dwarka Nagar stop
33482313,Gandhi Bridge stop
39862199,Dwarka Nagar stop
33483759,G.E.B (Naroda) stop
33482669,Gandhi Bridge stop
33482326,Gandhi Bridge stop
39166149,Fuwara stop
45378830,Gayatri Society stop
45378831,Gayatri Society stop
33481947,Gebanshah Dargah stop
45186184,Gujarat High Court stop
45329044,Grid Station
45329045,Grid Station
33482030,Gebanshah Dargah stop
33482949,Gujarat High Court stop
45186185,Gujarat High Court stop
33483772,Haridarshan Char Rasta stop
33482817,Haridarshan Cross Road stop
44963601,Gurukrupa Vidyalay stop
33482553,Gujarat University stop
33482824,Haridarshan Cross Road stop
39830094,Haridarshan Society stop
33482002,Haripura stop
45378875,Haridarshan Society stop
33482213,Haripura stop
33481830,Hatkeshwar Mahadev stop
33481971,Hatkeshwar Mahadev stop
44963603,Hatkeshwar Mahadev stop
44963634,Hatkeshwar Mahadev stop
33483528,Hatkeshwar stop
33483529,Hatkeshwar stop
33483273,Hirawadi stop
33483280,Hirawadi stop
33482597,I. I. M. stop
33482622,I. I. M. stop
45328997,Income Tax Office stop
45378863,Jadeshwar Van stop
45378755,Jogeshwari Estate stop
45378756,Jogeshwari Estate stop
33483190,Khanpur stop
45329031,Kailash Colony stop
33483208,Khanpur stop
33483579,Khokhara Circle stop
45378834,Khodiyarnagar (Chandlodiya) stop
33483583,Khokhara Circle stop
33483423,108 Ambulance Seva Office stop
45352503,Khokhara Circle stop
45341675,Alakhdham stop
45341676,Alakhdham stop
33483424,108 Ambulance Seva Office stop
45378711,Amjad Pura Gam stop
45378712,Amjad Pura Gam stop
45152164,Anaj Market Yard stop
45378748,Anand Ashram stop
45152163,Anaj Market Yard stop
45380837,Anand Ashram stop
143284561,Ashirvad Party Plot stop
143284560,Ashirvad Party Plot stop
143284492,Aslali Circle stop
143284493,Aslali Circle stop
33483395,Aslali Gam stop
33483396,Aslali Gam stop
45152169,Aslali Police Station
45341667,Badodara Patiya stop
45152170,Aslali Police Station
45341668,Badodara Patiya stop
45379061,Bahucharaji Mata Nu Mandir stop
45379062,Bahucharaji Mata Nu Mandir stop
33483403,Bakrol Patiya stop
33482340,Bakrol Gam stop
33482341,Bakrol Gam stop
45152161,Bareja Chokdi stop
33483404,Bakrol Patiya stop
45152162,Bareja Chokdi stop
33483399,Bareja Eye Hospital stop
33483400,Bareja Eye Hospital stop
45378773,Bechar Bhai Nu Khetar stop
45378769,Bhagirath Residency stop
45378774,Bechar Bhai Nu Khetar stop
33483193,Haridarshan Char Rasta stop
33481809,Bhathiji Ka Mandir stop
45341572,Bhakti Circle stop
45378770,Bhagirath Residency stop
44963170,Halimani Khadaki stop
45341571,Bhakti Circle stop
33482206,Bhathiji Ka Mandir stop
45142103,Halimani Khadaki stop
45142102,Halimani Khadaki stop
33483315,Bhuvaldi Gam stop
33483316,Bhuvaldi Gam stop
33483195,Bilasiya stop
33483166,Bus Stand Miroli
33483204,Bilasiya stop
33483167,Bus Stand Miroli
33483418,Cellulose Products stop
45152166,Cargo Motors Private Limited stop
33483428,Cellulose Products stop
33481794,Chosar Char Rasta stop
45152165,Cargo Motors Private Limited stop
33482202,Chosar Char Rasta stop
45379006,Chosar Gam 2 stop
45379007,Chosar Gam 2 stop
45378777,Chunar Vas stop
45379005,Chosar Gam stop
45394703,Chosar Gam stop
45341671,D.P.S. School stop
45378778,Chunar Vas stop
33483761,Dahegam Circle stop
45341672,D.P.S. School stop
33483760,Dahegam Circle stop
143284562,Dastan (S.P.Ring Road) stop
143284563,Dastan (S.P.Ring Road) stop
143284558,Dastan Auto World stop
45378941,Dastan Farm stop
45378942,Dastan Farm stop
143284559,Dastan Auto World stop
33483194,Dastan Kathwada Road stop
33483809,Dastan Kathwada Road stop
33482009,Devdi Gam stop
143284566,Dehgam Circle stop
143284567,Dehgam Circle stop
45378714,Devdiwala Farm stop
45378713,Devdiwala Farm stop
33483762,Enasan Gam stop
33483763,Enasan Gam stop
33483198,Engineering / B.Ed. College Vahelal stop
45379004,Devdi Gam stop
39830103,G.E. Board stop
33483201,Engineering / B.Ed. College Vahelal stop
45378772,Gajanand Residency stop
45378771,Gajanand Residency stop
39830104,G.E. Board stop
33481795,Gamdi stop
33482275,Geratpur Railway Station
33482203,Gamdi stop
33481808,Ghanshyam Farm stop
33483727,Geratpur Railway Station
33483421,Gokul Galaxy Flats stop
33482204,Ghanshyam Farm stop
33483425,Gokul Galaxy Flats stop
45152167,Gurukrupa Estate stop
45378768,Gujarat Concrete stop
45378767,Gujarat Concrete stop
45328979,Gurukul stop
45152168,Gurukrupa Estate stop
45352550,Hanspura Ring Road stop
45352551,Hanspura Ring Road stop
45328978,Gurukul stop
45352609,Harikrushna Farm stop
45352610,Harikrushna Farm stop
45328982,Hempurilat Bus Stand
45328983,Hempurilat Bus Stand
33483313,Hinglajmata Mandir stop
33483314,Hinglajmata Mandir stop
45341677,Hirapur Chokadi stop
45341678,Hirapur Chokadi stop
45341659,Hirapur stop
45341660,Hirapur stop
45329070,Huka Gam stop
143284583,Hotel Sahyog stop
33483810,Huka Gam stop
143284582,Hundai Motors stop
45378936,Indira Nagar 2 stop
45378937,Indira Nagar 2 stop
33483261,Indira Nagar Approach stop
45186203,Indira Nagar Number 1 stop
33482455,Indiranagar Vibhag 2 stop
33483258,Indira Nagar Approach stop
45186202,Indira Nagar Number 1 stop
45341657,Jagruti Pvt. Ltd stop
45341658,Jagruti Pvt. Ltd stop
45378940,Indiranagar Vibhag 2 stop
45328972,Jamil stop
45328974,Jetalpur Cross Road stop
33482336,Jain Temple stop
45328973,Jamil stop
45328975,Jetalpur Cross Road stop
33482345,Jain Temple stop
33483397,Jetalpur Dham stop
45341666,K.H.S.Mashinari Pvt.Ltd stop
33483398,Jetalpur Dham stop
45378705,Jogani Mata Mandir stop
45341665,K.H.S.Mashinari Pvt.Ltd stop
45378706,Jogani Mata Mandir stop
33483802,Kamod Circle stop
33483805,Kamod Circle stop
33483406,Kashindra Gam stop
33483420,Kathwada Gam stop
45394698,Kashindra Gam stop
33483426,Kathwada Gam stop
143284498,Khari Canal stop
33483168,Khod Kamod stop
143284499,Khari Canal stop
33483165,Khod Kamod stop
45379065,Khodiyar Mata Ka Mandir stop
45341664,Khodiyar Dham stop
45379066,Khodiyar Mata Ka Mandir stop
45378744,Khodiyar Mandir Approach stop
45341663,Khodiyar Dham stop
45341614,Khodiyar Matanu Mandir stop
45378745,Khodiyar Mandir Approach stop
45341615,Khodiyar Matanu Mandir stop
33481651,Akshardham Mandir (Gandhinagar) stop
45272847,Bansari Green City stop
33481652,Borij stop
33481665,Akshardham Mandir (Gandhinagar) stop
45272846,Bansari Green City stop
45272844,Bansari Vatika stop
45272845,Bansari Vatika stop
33481664,Borij stop
33481642,C.H-3 Circle (Sector-11) stop
33481674,C.H-3 Circle (Sector-11) stop
46011172,C.H-Road Indroda Circle stop
46011171,C.H-Road Indroda Circle stop
46011174,Ch-5 stop
46011173,Ch-5 stop
33481675,Civil Hospital stop
33481690,Charedi Pani Taki stop
33481691,Charedi Pani Taki stop
33481695,Collector Office stop
33481709,D-Mart stop
33481708,D-Mart stop
45272835,Collector Office stop
45272836,Civil Hospital stop
45272862,E.Q.D.C.Circle stop
457856,Dholakuva Cross Road stop
457855,Dholakuva Cross Road stop
1150628907,Dholakuva Circle station
45272863,E.Q.D.C.Circle stop
46011178,G.E.B.Colony stop
457844,Fire Station Gandhinagar
457843,Fire Station Gandhinagar
46011177,G.E.B.Colony stop
33481730,GH-0 stop
33481731,GH-0 stop
33481727,GH-1.5 stop
33481728,GH-1 stop
33481726,GH-1.5 stop
33481725,GH-2 stop
45272897,Gandhinagar Gsrtc Bus Station
33481729,GH-1 stop
33481724,GH-2 stop
45272858,Government Polytechnic Gandhinagar stop
46011175,GH-6 stop
45272896,Gandhinagar Gsrtc Bus Station
46011176,GH-6 stop
45272859,Government Polytechnic Gandhinagar stop
45272864,Gandhinagar Railway Station
45272865,Gandhinagar Railway Station
45272888,Gujarat Technological University Gandhinagar Campus stop
45272887,Gujarat Technological University Gandhinagar Campus stop
45272874,Harinagar Vavol stop
45272875,Harinagar Vavol stop
46011185,Hemchandracharya Circle stop
1150628906,Infocity station
457853,Infocity Metro Station
46011184,Hemchandra Charya Circle stop
33481704,Jayprakash Vidyalaya stop
457854,Infocity Metro Station
45272867,"K Road, 195 stop"
33481705,Jayprakash Vidyalaya stop
33481645,Juna Sachivalaya Gandhinagar stop
33481671,Juna Sachivalaya Gandhinagar stop
33481712,K-7 stop
33481713,K-7 stop
458028,A.T.S Savvy stop
33481703,Kh-6 stop
45160742,Aavkar Apartment stop
33481702,Kh-6 stop
33481744,Adalaj S.T Stand
33483562,Adalaj-Mehsana Cross Road stop
458029,A.T.S Savvy stop
33481745,Adalaj S.T Stand
45160743,Aavkar Apartment stop
477170,Adharshila School stop
